"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Coping_not_show_emotions",0.0124192317152198,0.0557101557380714,0.19747953376142,0.116262290161448,0.132166455521266,0.0375200854998853,0.348188388586934,0.00448041239611415,-0.0602485073595161,-0.00805065689823157,0.135332780214616,-0.00421008299222904,0.0836069185578263,-0.00239740891363649,-0.0146505865231852
"Coping_exercise",-0.00399555662823898,0.00763277424261165,0.0113248519854886,0.0225432472456866,0.698110191041426,0.0080550382935545,-0.0163589471346112,-0.0146130340194936,-0.0320191657668294,0.02214060133336,-0.0512812230047606,0.0617017598915833,0.0602530238886904,-0.015929929177892,-0.0175271159471458
"Coping_nutrition",-0.0290975093747196,0.0126794654782856,-0.027849523239929,0.0521839324239342,0.704239567377591,0.0174924858465548,-0.0330204807464069,-0.034498906641913,0.0552296606347253,0.0313985786456605,0.0315945473971731,0.00245059349840579,-0.0458076545008503,-0.0266567852416986,0.0549681615507101
"Age",0.0109485371762859,-0.137021833478971,0.0500253510360165,0.0309699984896266,-0.021774687144901,0.0148127295113626,-0.0413533926983446,-0.010893798628918,0.0306760433779841,-0.0504682351458604,0.137784202583923,0.055916976865186,-0.0720114852179953,0.110129107019336,0.135202084792229
"Education",-0.0052289334399285,0.018577766439303,0.0624274627633009,-0.0141709556408209,0.0801743346958939,0.0266615338810369,-0.08022079927946,-0.126476259943461,-0.00302089045990744,-0.00418059775726573,-0.0133465640229545,0.521372715326748,-0.148524294525992,-0.0540976059339107,-0.0314560639090367
"Income",0.0179503078056336,-0.0140160623646204,-0.00805395623788415,-0.00421374467994995,0.0193735893855665,-0.0162067735325695,0.0278638223739363,0.106834667733221,0.0040983535016814,-0.0379177765156945,0.00299460110169878,0.638534760213481,0.0347247506917202,-0.00134605860898194,0.00700497008476611
"Population_density",-0.0194910890582322,0.0682738345456715,-0.0437340750274657,-0.136110695030718,0.10251886682201,0.0284632871207739,-0.097916779955352,0.0225144850952264,-0.0403640093395666,0.0628677286018694,0.0793140082448564,0.0176865030418247,0.0103929633506269,-6.5641605731262e-05,-0.000355241373894758
"Sexual_Orientation",0.0665800607576734,-0.0620055633755768,0.0895981790268582,0.0177031232106234,-0.0443967939692306,0.0306041478127077,0.0197004685889654,0.0268758200422982,-0.000748648696915109,-0.0323269205117104,-0.215080406882138,-0.0415228005127227,0.17389221590013,0.0351598681819709,0.00306432599867555
"Marital_status",-0.0460872659735397,0.0546582195739738,-0.00753170789495003,0.074529737780229,-0.112239724886414,-0.0305576739743666,0.160475528620324,-0.114223940283154,-0.0103935414324314,-0.0439504557794911,-0.286539359002558,-0.277848096809309,0.135936681430974,-0.0713018821781764,-0.0410131856149913
"Number_household",-0.00648164058741878,0.0225105465221289,-0.0338193008856146,0.0242088531970188,-0.0124277476330812,0.00567092964045279,0.018979757049324,0.836012035900259,-0.0384309532737417,0.0335506238512946,0.054148506741164,0.00092413014470938,0.0328659624101033,0.00194838842644415,-0.0482045030961726
"Number_adults_household",-0.00142178967545726,-0.0234345529960964,0.034298631312122,-0.0126297990162277,-0.00139660360480702,-0.0110810991979463,-0.025283102995561,0.815611311607246,0.0374783298998407,-0.029983635608375,-0.057832900829296,0.0170521686410119,-0.0364247530904207,-0.021465296455895,0.0577446507572011
