"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"PHQ9_Q7_Trouble_concentrating_recode",0.692735098062282,-0.194567877870561,0.0162625930496098,0.0137930891858434,-0.020461757375727,0.0717941412827196,-0.11494090146327,0.0381145495040149,-0.0744155773917774,-0.0148127753734633,0.144870979114412,-0.121045209015112,0.0443943958211279,-0.0609690783725212,-0.00176176325848456
"PHQ9_Q8_thinking_slowly_fidgety_recode",0.608009131462643,-0.244871839314662,-0.0340076700555435,0.182800227775085,0.0830025776856748,0.120830469326487,-0.193100082945434,0.0995655304839838,0.0100380837446447,-0.0110789089462315,0.126112051247431,-0.1279137636608,0.0375089227485915,-0.0557603600288922,0.0345352745609704
"PHQ9_Q9_SI_Thoughts_recode",0.555810051256596,-0.289378169642257,-0.0787758994986337,0.183944727472954,0.0858396206118371,0.146390018348226,-0.250854253913746,0.0566084207276011,0.0264446028227272,-0.0775975291355,0.10440926112811,-0.0731468653980624,0.0639801799307348,-0.0838292291998086,-0.0678086102747188
"PHQ9_Q10_Impact_of_Problems_recode",0.687647496259133,-0.0974682051406051,0.0132825895741288,-0.0282897951224073,-0.0190393470104349,-0.00468524644569964,-0.0329179036934552,0.0041944731313069,0.031431462331584,0.0144615433323138,0.102211569352323,0.00284785050029444,0.000484689404752224,-0.041025206297203,0.0165136979185832
"Covid_wellbeing_overall_recode",0.530791913867648,0.439148056596044,-0.380298052315375,0.0623253207461796,0.0717689359472885,0.072488971566216,-0.00689226519185956,0.0170539118243255,0.0145076735050864,0.00859844221027885,-0.00461994158804529,-0.0247171464343867,-0.097059223786599,0.0545623591341006,-0.0368527148333855
"Covid_Wellbeing_Physical_recode",0.45928812165481,0.358699987728181,-0.428413052330026,0.0912915752526602,0.094559462502226,0.099385995252333,-0.0481194496281295,-0.0208529241800602,0.0174288802898072,0.0286238755977848,-0.0178783323433647,-0.051489589552831,-0.0970665216787185,-0.00400812738971697,-0.0823448224995981
"Covid_wellbeing_Emotional_recode",0.578946105837214,0.494794207590173,-0.420239353745724,-0.0177921266552441,0.0491058416139689,0.0432976018221028,0.131400532438101,0.0340620677156477,-0.0147532804184113,-0.0751560359363009,-0.0108169697433936,-0.0287640389048388,0.0858339720638446,-0.0558778917512653,0.00374537004637069
"Covid_wellbeing_psychological_recode",0.608572737286698,0.4479761909948,-0.370552973000555,-0.0412174039933584,0.0170671663932855,0.0504304692144715,0.142296274798492,0.00882287679511029,-0.059181784488833,-0.0780142536612059,0.0302342077197863,-0.0148575682906186,0.0738663526730981,-0.012102589557505,0.0213607980942247
"Covid_wellbeing_social_recode",0.387106914752524,0.446907615677976,-0.191908698504824,-0.0550209316953236,0.00542989974818193,0.00974385987141557,0.0516376783718644,-0.0112238778496972,-0.0613025785084101,-0.0155321739768255,0.0272689004011177,0.0196359931795927,0.00517222836688076,0.000663979561768334,0.0215482707782564
"Covid_wellbeing_financial_recode",0.43814938667269,0.376122896511871,-0.291163468111359,0.0251425927642441,-0.0123567624079607,0.0630939517552825,0.0719211945324429,0.0278518391302484,0.0915271734401771,0.154980060713109,0.0153993732546314,0.0714590562455122,-0.197675187561061,0.140080350199269,0.0849057559329357
"Followed_Protests_recode",0.168932212025929,0.431655026009351,0.159984254815316,-0.20606308532255,-0.0243857670297455,-0.0597009688791273,-0.331362501956812,0.0665346323501348,0.0650457269238724,-0.102886130715826,-0.060610991379676,-0.0111228188281066,-0.0903099885003459,0.0462155622047483,0.0331495808445399
"Protests_support_recode",0.0641828758832821,0.417402972396073,0.213299566323944,-0.41996125617753,-0.108165030675075,-0.180144156681484,-0.286877463955118,0.0892471239793544,0.175371778625187,-0.0347748841524208,0.0936111158505017,-0.10295236479294,0.0204987236415967,0.0856540725986113,-0.00766213245522641
"Approval_Trump_Protests_recode",0.0541416576975186,-0.211620457033405,-0.32599665229326,0.285564816821902,0.230486081767924,0.229957208508514,-0.200757933502449,0.106844877343172,0.152088900842973,0.153347819476986,-0.101656231777777,0.289485370633507,0.0891332427958285,0.0678785185989356,-0.0308899038529344
"Protests_appropriate_response_recode",0.00956291066923592,0.285152780251236,0.124034140824424,-0.308211644681467,-0.0221082356257426,-0.0736033983880085,-0.251964441305805,0.136904424926032,0.106162067830683,0.0772900101819589,0.104758172926036,0.0954080360989179,0.184856741797065,-0.0388743625479332,-0.00426822803083697
"Protests_propertydamanage_undermine_recode",-0.0465303137413047,0.170373660417875,-0.0265235752238126,-0.206193201067628,0.00366592178870972,0.0203287410137511,-0.11043993164347,0.111188253929652,0.0255065424390196,0.213680491170854,-0.0115265729155941,0.228085434071199,0.192168359748641,-0.0386098666705967,-0.0235075518535162
"Protests_sympathy_recode",0.0597736222543218,0.398623787264246,0.230082215095009,-0.389977923815452,-0.0756910110959973,-0.161878893996826,-0.185588100088684,0.126956392018691,0.149893070496976,0.000222469539646738,0.0759719106690623,0.0466650588999901,0.117403137206794,-0.0476199417287644,0.0132386232509366
"Protests_police_good_job_recode",-0.11167414278809,-0.0717486983191567,-0.285659641614157,0.0829562165989232,0.163766716366742,0.23293205386765,-0.211412775591296,0.144773156837896,0.0334446332025126,0.312846835946571,-0.0861904394416846,0.21532728393551,0.159489388810672,-0.0136158322335579,-0.00273016404346274
"Prior_Covid_experienced_racial_discrimination_recode",0.347791750845223,0.271671763758033,0.281776291710051,0.549520783564496,-0.274248297795072,-0.156220931423609,-0.00928966746433489,0.0426504391328745,-0.0221456693843972,0.0342473626526187,-0.0215769732131091,-0.0208792647422696,0.0111634231177292,-0.0341224069923082,-0.0176303617185135
"Covid_experienced_racial_discrimination_recode",0.384452366645205,0.341439355707277,0.318126700486363,0.560866768451422,-0.306266758587096,-0.171253208725072,0.00819754599792295,0.0504046254239664,0.0137981706292374,0.0275419982112933,-0.0292139583739156,0.0620244967640164,0.0211077306029333,0.00952535872637111,-0.0207703434037216
